# Site: https://lucaberton.com/
# Run Date: 2026-06-05T22:54:41.027Z
# Pages Crawled: 1561
# Total Issues: 3486

issue_type,severity,category,url,evidence_summary,change_state,fix_recommendation,ownership
INDEXABILITY_CANONICAL_TAG_MISSING,High,INDEXABILITY,https://lucaberton.com/services/kubernetes-consulting,Page has no canonical tag,unchanged,"Add a self-referencing <link rel=""canonical""> tag pointing to the preferred URL of this page.",engineering
INDEXABILITY_CANONICAL_TAG_MISSING,High,INDEXABILITY,https://lucaberton.com/services/platform-engineering,Page has no canonical tag,unchanged,"Add a self-referencing <link rel=""canonical""> tag pointing to the preferred URL of this page.",engineering
INDEXABILITY_CANONICAL_TAG_MISSING,High,INDEXABILITY,https://lucaberton.com/slides/kubecon-europe-2026-multi-tenant-gpus-bare-metal.pdf,Page has no canonical tag,unchanged,"Add a self-referencing <link rel=""canonical""> tag pointing to the preferred URL of this page.",engineering
CONTENT_INDEXABLE_TITLE_TAG_MISSING_OR_EMPTY,High,CONTENT,https://lucaberton.com/slides/kubecon-europe-2026-multi-tenant-gpus-bare-metal.pdf,Page is missing a title tag,unchanged,"Add a unique, descriptive <title> tag to the page's <head> section.",content
CONTENT_INDEXABLE_H1_TAG_MISSING_OR_EMPTY,High,CONTENT,https://lucaberton.com/slides/kubecon-europe-2026-multi-tenant-gpus-bare-metal.pdf,Page is missing an H1 heading,unchanged,"Add a single, descriptive <h1> heading that summarizes the page content.",content
CONTENT_INDEXABLE_META_DESCRIPTION_TAG_MISSING_OR_EMPTY,High,CONTENT,https://lucaberton.com/slides/kubecon-europe-2026-multi-tenant-gpus-bare-metal.pdf,Page is missing a meta description,unchanged,Add a unique meta description (120-160 characters) that summarizes the page content.,content
INDEXABILITY_NON_CANONICAL_PAGE_SPECIFIED_AS_CANONICAL_ONE,High,INDEXABILITY,https://lucaberton.com/tags/ansible,Page has non-self canonical pointing to: https://lucaberton.com/blog,changed,"If this page has unique content, update the canonical to be self-referencing. If it's truly a duplicate, ensure the canonical target is correct.",engineering
LINKS_INDEXABLE_PAGE_HAS_LINKS_TO_BROKEN_PAGE,High,LINKS,https://lucaberton.com/courses,1 link(s) point to broken page: https://lucaberton.com/blog/claude-code-masterclass-free-udemy-course-ai-development (404),new,"Fix the target page, set up a redirect, or update the links to point to a valid page.",engineering
LINKS_INDEXABLE_PAGE_HAS_LINKS_TO_BROKEN_PAGE,High,LINKS,https://lucaberton.com/conferences,1 link(s) point to broken page: https://lucaberton.com/blog/karpathy-claude-md-llm-coding-discipline-2026 (404),new,"Fix the target page, set up a redirect, or update the links to point to a valid page.",engineering
LINKS_INDEXABLE_PAGE_HAS_LINKS_TO_BROKEN_PAGE,High,LINKS,https://lucaberton.com/conferences,1 link(s) point to broken page: https://lucaberton.com/blog/red-hat-summit-2026-gpus-take-flight-multi-tenant-platform-engineering (404),new,"Fix the target page, set up a redirect, or update the links to point to a valid page.",engineering
LINKS_INDEXABLE_PAGE_HAS_LINKS_TO_BROKEN_PAGE,High,LINKS,https://lucaberton.com/conferences,1 link(s) point to broken page: https://lucaberton.com/blog/cloud-native-rejekts-eu-2026-mc (404),new,"Fix the target page, set up a redirect, or update the links to point to a valid page.",engineering
LINKS_INDEXABLE_PAGE_HAS_LINKS_TO_BROKEN_PAGE,High,LINKS,https://lucaberton.com/conferences,1 link(s) point to broken page: https://lucaberton.com/blog/nvidia-dynamo-inference-framework-kubernetes-2026 (404),new,"Fix the target page, set up a redirect, or update the links to point to a valid page.",engineering
INDEXABILITY_NON_CANONICAL_PAGE_SPECIFIED_AS_CANONICAL_ONE,High,INDEXABILITY,https://lucaberton.com/blog/search?q=2026,Page has non-self canonical pointing to: https://lucaberton.com/blog/search,changed,"If this page has unique content, update the canonical to be self-referencing. If it's truly a duplicate, ensure the canonical target is correct.",engineering
INDEXABILITY_NON_CANONICAL_PAGE_SPECIFIED_AS_CANONICAL_ONE,High,INDEXABILITY,https://lucaberton.com/blog/search?q=ai,Page has non-self canonical pointing to: https://lucaberton.com/blog/search,new,"If this page has unique content, update the canonical to be self-referencing. If it's truly a duplicate, ensure the canonical target is correct.",engineering
INDEXABILITY_NON_CANONICAL_PAGE_SPECIFIED_AS_CANONICAL_ONE,High,INDEXABILITY,https://lucaberton.com/blog/search?q=ansible,Page has non-self canonical pointing to: https://lucaberton.com/blog/search,changed,"If this page has unique content, update the canonical to be self-referencing. If it's truly a duplicate, ensure the canonical target is correct.",engineering
INDEXABILITY_NON_CANONICAL_PAGE_SPECIFIED_AS_CANONICAL_ONE,High,INDEXABILITY,https://lucaberton.com/blog/search?q=cloud,Page has non-self canonical pointing to: https://lucaberton.com/blog/search,changed,"If this page has unique content, update the canonical to be self-referencing. If it's truly a duplicate, ensure the canonical target is correct.",engineering
INDEXABILITY_NON_CANONICAL_PAGE_SPECIFIED_AS_CANONICAL_ONE,High,INDEXABILITY,https://lucaberton.com/blog/search?q=containers,Page has non-self canonical pointing to: https://lucaberton.com/blog/search,changed,"If this page has unique content, update the canonical to be self-referencing. If it's truly a duplicate, ensure the canonical target is correct.",engineering
INDEXABILITY_NON_CANONICAL_PAGE_SPECIFIED_AS_CANONICAL_ONE,High,INDEXABILITY,https://lucaberton.com/blog/search?q=Containers,Page has non-self canonical pointing to: https://lucaberton.com/blog/search,changed,"If this page has unique content, update the canonical to be self-referencing. If it's truly a duplicate, ensure the canonical target is correct.",engineering
INDEXABILITY_NON_CANONICAL_PAGE_SPECIFIED_AS_CANONICAL_ONE,High,INDEXABILITY,https://lucaberton.com/blog/search?q=devops,Page has non-self canonical pointing to: https://lucaberton.com/blog/search,changed,"If this page has unique content, update the canonical to be self-referencing. If it's truly a duplicate, ensure the canonical target is correct.",engineering
INDEXABILITY_CANONICAL_TAG_MISSING,High,INDEXABILITY,https://lucaberton.com/blog/categories/book,Page has no canonical tag,unchanged,"Add a self-referencing <link rel=""canonical""> tag pointing to the preferred URL of this page.",engineering
INDEXABILITY_NON_CANONICAL_PAGE_SPECIFIED_AS_CANONICAL_ONE,High,INDEXABILITY,https://lucaberton.com/blog/search?q=DevOps,Page has non-self canonical pointing to: https://lucaberton.com/blog/search,changed,"If this page has unique content, update the canonical to be self-referencing. If it's truly a duplicate, ensure the canonical target is correct.",engineering
INDEXABILITY_NON_CANONICAL_PAGE_SPECIFIED_AS_CANONICAL_ONE,High,INDEXABILITY,https://lucaberton.com/blog/search?q=docker,Page has non-self canonical pointing to: https://lucaberton.com/blog/search,changed,"If this page has unique content, update the canonical to be self-referencing. If it's truly a duplicate, ensure the canonical target is correct.",engineering
INDEXABILITY_CANONICAL_TAG_MISSING,High,INDEXABILITY,https://lucaberton.com/blog/categories/conference,Page has no canonical tag,unchanged,"Add a self-referencing <link rel=""canonical""> tag pointing to the preferred URL of this page.",engineering
INDEXABILITY_NON_CANONICAL_PAGE_SPECIFIED_AS_CANONICAL_ONE,High,INDEXABILITY,https://lucaberton.com/blog/search?q=Docker,Page has non-self canonical pointing to: https://lucaberton.com/blog/search,changed,"If this page has unique content, update the canonical to be self-referencing. If it's truly a duplicate, ensure the canonical target is correct.",engineering
INDEXABILITY_NON_CANONICAL_PAGE_SPECIFIED_AS_CANONICAL_ONE,High,INDEXABILITY,https://lucaberton.com/blog/search?q=Error+Fix,Page has non-self canonical pointing to: https://lucaberton.com/blog/search,changed,"If this page has unique content, update the canonical to be self-referencing. If it's truly a duplicate, ensure the canonical target is correct.",engineering
INDEXABILITY_CANONICAL_TAG_MISSING,High,INDEXABILITY,https://lucaberton.com/blog/kcs_dockingstation,Page has no canonical tag,unchanged,"Add a self-referencing <link rel=""canonical""> tag pointing to the preferred URL of this page.",engineering
INDEXABILITY_NON_CANONICAL_PAGE_SPECIFIED_AS_CANONICAL_ONE,High,INDEXABILITY,https://lucaberton.com/blog/search?q=iac,Page has non-self canonical pointing to: https://lucaberton.com/blog/search,changed,"If this page has unique content, update the canonical to be self-referencing. If it's truly a duplicate, ensure the canonical target is correct.",engineering
INDEXABILITY_CANONICAL_TAG_MISSING,High,INDEXABILITY,https://lucaberton.com/blog/kcs_oraclecloud,Page has no canonical tag,unchanged,"Add a self-referencing <link rel=""canonical""> tag pointing to the preferred URL of this page.",engineering
INDEXABILITY_NON_CANONICAL_PAGE_SPECIFIED_AS_CANONICAL_ONE,High,INDEXABILITY,https://lucaberton.com/blog/search?q=Installation,Page has non-self canonical pointing to: https://lucaberton.com/blog/search,changed,"If this page has unique content, update the canonical to be self-referencing. If it's truly a duplicate, ensure the canonical target is correct.",engineering
LINKS_INDEXABLE_INTERNAL_LINK_TO_BLOCKED_PAGE,High,LINKS,https://lucaberton.com/services/platform-engineering,3 internal links point to this blocked page (noindex directive),changed,"Either remove the blocking directive if the page should be indexed, or redirect internal links to an indexable alternative.",engineering
LINKS_INDEXABLE_INTERNAL_LINK_TO_BLOCKED_PAGE,High,LINKS,https://lucaberton.com/slides/kubecon-europe-2026-multi-tenant-gpus-bare-metal.pdf,9 internal links point to this blocked page (robots.txt disallows /slides/),new,"Either remove the blocking directive if the page should be indexed, or redirect internal links to an indexable alternative.",engineering
OTHER_SEARCH_FACET_CRAWL_TRAP,High,OTHER,https://lucaberton.com/blog/search,20 URL variations from parameters: q,changed,"Add noindex to faceted/filtered pages, use canonical tags to consolidate variations, or block parameter combinations in robots.txt.",engineering
LINKS_INDEXABLE_INTERNAL_LINK_TO_BLOCKED_PAGE,High,LINKS,https://lucaberton.com/blog/kcs_dockingstation,5 internal links point to this blocked page (noindex directive),changed,"Either remove the blocking directive if the page should be indexed, or redirect internal links to an indexable alternative.",engineering
LINKS_INDEXABLE_INTERNAL_LINK_TO_BLOCKED_PAGE,High,LINKS,https://lucaberton.com/blog/kcs_oraclecloud,5 internal links point to this blocked page (noindex directive),changed,"Either remove the blocking directive if the page should be indexed, or redirect internal links to an indexable alternative.",engineering
LINKS_INDEXABLE_INTERNAL_LINK_TO_BLOCKED_PAGE,High,LINKS,https://lucaberton.com/blog/kcs_rhel_repos,5 internal links point to this blocked page (noindex directive),changed,"Either remove the blocking directive if the page should be indexed, or redirect internal links to an indexable alternative.",engineering
LINKS_INDEXABLE_INTERNAL_LINK_TO_BLOCKED_PAGE,High,LINKS,https://lucaberton.com/blog/nexusblod,7 internal links point to this blocked page (noindex directive),changed,"Either remove the blocking directive if the page should be indexed, or redirect internal links to an indexable alternative.",engineering
LINKS_INDEXABLE_INTERNAL_LINK_TO_BLOCKED_PAGE,High,LINKS,https://lucaberton.com/blog/search,24 internal links point to this blocked page (noindex directive),changed,"Either remove the blocking directive if the page should be indexed, or redirect internal links to an indexable alternative.",engineering
LINKS_INDEXABLE_INTERNAL_LINK_TO_BLOCKED_PAGE,High,LINKS,https://lucaberton.com/booklist,4 internal links point to this blocked page (noindex directive),changed,"Either remove the blocking directive if the page should be indexed, or redirect internal links to an indexable alternative.",engineering
INDEXABILITY_NOINDEX_PAGE,Low,INDEXABILITY,https://lucaberton.com/blog/search?q=2026,"Page has meta robots noindex: ""noindex, follow""",unchanged,"If the page should be indexed, remove the noindex directive from the meta robots tag. If intentional, no action needed.",engineering
INDEXABILITY_NOINDEX_PAGE,Low,INDEXABILITY,https://lucaberton.com/blog/search?q=DevOps,"Page has meta robots noindex: ""noindex, follow""",unchanged,"If the page should be indexed, remove the noindex directive from the meta robots tag. If intentional, no action needed.",engineering
CONTENT_NOT_INDEXABLE_LOW_WORD_COUNT,Low,CONTENT,https://lucaberton.com/tags/ansible,Low word count: 5 words (min: 300),changed,"Add more substantive content to reach at least 300 words, or consider whether this page should be consolidated with another.",content
LINKS_INDEXABLE_PAGE_HAS_ONLY_ONE_DOFOLLOW_INCOMING_INTERNAL_LINK,Low,LINKS,https://lucaberton.com/blog/claude-code-masterclass-free-udemy-course-ai-development,Page has only 1 internal incoming link,new,Add more internal links from related pages to improve discoverability and distribute link authority.,engineering
LINKS_INDEXABLE_PAGE_HAS_ONLY_ONE_DOFOLLOW_INCOMING_INTERNAL_LINK,Low,LINKS,https://lucaberton.com/blog/cloud-native-rejekts-eu-2026-mc,Page has only 1 internal incoming link,new,Add more internal links from related pages to improve discoverability and distribute link authority.,engineering
LINKS_INDEXABLE_PAGE_HAS_ONLY_ONE_DOFOLLOW_INCOMING_INTERNAL_LINK,Low,LINKS,https://lucaberton.com/blog/karpathy-claude-md-llm-coding-discipline-2026,Page has only 1 internal incoming link,new,Add more internal links from related pages to improve discoverability and distribute link authority.,engineering
LINKS_INDEXABLE_PAGE_HAS_ONLY_ONE_DOFOLLOW_INCOMING_INTERNAL_LINK,Low,LINKS,https://lucaberton.com/blog/nvidia-dynamo-inference-framework-kubernetes-2026,Page has only 1 internal incoming link,new,Add more internal links from related pages to improve discoverability and distribute link authority.,engineering
LINKS_INDEXABLE_PAGE_HAS_ONLY_ONE_DOFOLLOW_INCOMING_INTERNAL_LINK,Low,LINKS,https://lucaberton.com/blog/red-hat-summit-2026-gpus-take-flight-multi-tenant-platform-engineering,Page has only 1 internal incoming link,new,Add more internal links from related pages to improve discoverability and distribute link authority.,engineering
LINKS_NOT_INDEXABLE_PAGE_HAS_ONLY_ONE_DOFOLLOW_INCOMING_INTERNAL_LINK,Low,LINKS,https://lucaberton.com/services/ai-integration-green-code,Page has only 1 internal incoming link,new,Add more internal links from related pages to improve discoverability and distribute link authority.,engineering
LINKS_NOT_INDEXABLE_PAGE_HAS_ONLY_ONE_DOFOLLOW_INCOMING_INTERNAL_LINK,Low,LINKS,https://lucaberton.com/services/kubernetes-consulting,Page has only 1 internal incoming link,unchanged,Add more internal links from related pages to improve discoverability and distribute link authority.,engineering
LINKS_INDEXABLE_PAGE_HAS_NO_OUTGOING_LINKS,Low,LINKS,https://lucaberton.com/slides/kubecon-europe-2026-multi-tenant-gpus-bare-metal.pdf,Page has no outgoing internal links (dead-end page),unchanged,Add relevant internal links to help users navigate and distribute link authority.,engineering
LINKS_NOT_INDEXABLE_PAGE_HAS_ONLY_ONE_DOFOLLOW_INCOMING_INTERNAL_LINK,Low,LINKS,https://lucaberton.com/tags/ansible,Page has only 1 internal incoming link,unchanged,Add more internal links from related pages to improve discoverability and distribute link authority.,engineering
INDEXABILITY_NOINDEX_PAGE,Low,INDEXABILITY,https://lucaberton.com/blog/kcs_oraclecloud,"Page has meta robots noindex: ""noindex, follow""",unchanged,"If the page should be indexed, remove the noindex directive from the meta robots tag. If intentional, no action needed.",engineering
CONTENT_NOT_INDEXABLE_TITLE_TOO_SHORT,Low,CONTENT,https://lucaberton.com/blog/nexusblod,"Title too short (19 chars, min: 30)",changed,"Expand the title to at least 30 characters with descriptive, keyword-rich content.",content
INDEXABILITY_NOINDEX_PAGE,Low,INDEXABILITY,https://lucaberton.com/blog/search?q=docker,"Page has meta robots noindex: ""noindex, follow""",unchanged,"If the page should be indexed, remove the noindex directive from the meta robots tag. If intentional, no action needed.",engineering
INDEXABILITY_NOINDEX_PAGE,Low,INDEXABILITY,https://lucaberton.com/blog/categories/conference,"Page has meta robots noindex: ""noindex, follow""",unchanged,"If the page should be indexed, remove the noindex directive from the meta robots tag. If intentional, no action needed.",engineering
INDEXABILITY_NOINDEX_PAGE,Low,INDEXABILITY,https://lucaberton.com/blog/search?q=Installation,"Page has meta robots noindex: ""noindex, follow""",unchanged,"If the page should be indexed, remove the noindex directive from the meta robots tag. If intentional, no action needed.",engineering
LINKS_INDEXABLE_PAGE_HAS_NO_OUTGOING_LINKS,Low,LINKS,https://lucaberton.com/rss.xml,Page has no outgoing internal links (dead-end page),unchanged,Add relevant internal links to help users navigate and distribute link authority.,engineering
INDEXABILITY_NOINDEX_PAGE,Low,INDEXABILITY,https://lucaberton.com/blog/search?q=Docker,"Page has meta robots noindex: ""noindex, follow""",unchanged,"If the page should be indexed, remove the noindex directive from the meta robots tag. If intentional, no action needed.",engineering
INDEXABILITY_NOINDEX_PAGE,Low,INDEXABILITY,https://lucaberton.com/blog/search?q=ai,"Page has meta robots noindex: ""noindex, follow""",new,"If the page should be indexed, remove the noindex directive from the meta robots tag. If intentional, no action needed.",engineering
INDEXABILITY_NOINDEX_PAGE,Low,INDEXABILITY,https://lucaberton.com/blog/search?q=Kubernetes,"Page has meta robots noindex: ""noindex, follow""",unchanged,"If the page should be indexed, remove the noindex directive from the meta robots tag. If intentional, no action needed.",engineering
CONTENT_NOT_INDEXABLE_META_DESCRIPTION_TOO_SHORT,Low,CONTENT,https://lucaberton.com/blog/nexusblod,"Meta description too short (53 chars, min: 120)",changed,Expand the meta description to at least 120 characters.,content
INDEXABILITY_NOINDEX_PAGE,Low,INDEXABILITY,https://lucaberton.com/blog/search?q=ansible,"Page has meta robots noindex: ""noindex, follow""",unchanged,"If the page should be indexed, remove the noindex directive from the meta robots tag. If intentional, no action needed.",engineering
INDEXABILITY_NOINDEX_PAGE,Low,INDEXABILITY,https://lucaberton.com/blog/kcs_rhel_repos,"Page has meta robots noindex: ""noindex, follow""",unchanged,"If the page should be indexed, remove the noindex directive from the meta robots tag. If intentional, no action needed.",engineering
CONTENT_NOT_INDEXABLE_LOW_WORD_COUNT,Low,CONTENT,https://lucaberton.com/blog/nexusblod,Low word count: 3 words (min: 300),changed,"Add more substantive content to reach at least 300 words, or consider whether this page should be consolidated with another.",content
CONTENT_NOT_INDEXABLE_TITLE_TOO_SHORT,Low,CONTENT,https://lucaberton.com/blog/kcs_dockingstation,"Title too short (19 chars, min: 30)",changed,"Expand the title to at least 30 characters with descriptive, keyword-rich content.",content
INDEXABILITY_NOINDEX_PAGE,Low,INDEXABILITY,https://lucaberton.com/blog/search?q=cloud,"Page has meta robots noindex: ""noindex, follow""",unchanged,"If the page should be indexed, remove the noindex directive from the meta robots tag. If intentional, no action needed.",engineering
CONTENT_NOT_INDEXABLE_META_DESCRIPTION_TOO_SHORT,Low,CONTENT,https://lucaberton.com/blog/categories/conference,"Meta description too short (64 chars, min: 120)",changed,Expand the meta description to at least 120 characters.,content
CONTENT_NOT_INDEXABLE_LOW_WORD_COUNT,Low,CONTENT,https://lucaberton.com/blog/categories/conference,Low word count: 3 words (min: 300),changed,"Add more substantive content to reach at least 300 words, or consider whether this page should be consolidated with another.",content
CONTENT_NOT_INDEXABLE_META_DESCRIPTION_TOO_SHORT,Low,CONTENT,https://lucaberton.com/blog/kcs_dockingstation,"Meta description too short (53 chars, min: 120)",changed,Expand the meta description to at least 120 characters.,content
INDEXABILITY_NOINDEX_PAGE,Low,INDEXABILITY,https://lucaberton.com/blog/search?q=terraform,"Page has meta robots noindex: ""noindex, follow""",unchanged,"If the page should be indexed, remove the noindex directive from the meta robots tag. If intentional, no action needed.",engineering
CONTENT_NOT_INDEXABLE_LOW_WORD_COUNT,Low,CONTENT,https://lucaberton.com/blog/kcs_dockingstation,Low word count: 3 words (min: 300),changed,"Add more substantive content to reach at least 300 words, or consider whether this page should be consolidated with another.",content
CONTENT_NOT_INDEXABLE_TITLE_TOO_SHORT,Low,CONTENT,https://lucaberton.com/blog/kcs_oraclecloud,"Title too short (19 chars, min: 30)",changed,"Expand the title to at least 30 characters with descriptive, keyword-rich content.",content
INDEXABILITY_NOINDEX_PAGE,Low,INDEXABILITY,https://lucaberton.com/blog/search?q=troubleshooting,"Page has meta robots noindex: ""noindex, follow""",unchanged,"If the page should be indexed, remove the noindex directive from the meta robots tag. If intentional, no action needed.",engineering
INDEXABILITY_NOINDEX_PAGE,Low,INDEXABILITY,https://lucaberton.com/blog/nexusblod,"Page has meta robots noindex: ""noindex, follow""",unchanged,"If the page should be indexed, remove the noindex directive from the meta robots tag. If intentional, no action needed.",engineering
INDEXABILITY_NOINDEX_PAGE,Low,INDEXABILITY,https://lucaberton.com/blog/search?q=kubernetes,"Page has meta robots noindex: ""noindex, follow""",unchanged,"If the page should be indexed, remove the noindex directive from the meta robots tag. If intentional, no action needed.",engineering
INDEXABILITY_NOINDEX_PAGE,Low,INDEXABILITY,https://lucaberton.com/blog/search?q=Troubleshooting,"Page has meta robots noindex: ""noindex, follow""",unchanged,"If the page should be indexed, remove the noindex directive from the meta robots tag. If intentional, no action needed.",engineering
CONTENT_NOT_INDEXABLE_META_DESCRIPTION_TOO_SHORT,Low,CONTENT,https://lucaberton.com/blog/kcs_oraclecloud,"Meta description too short (53 chars, min: 120)",changed,Expand the meta description to at least 120 characters.,content
CONTENT_NOT_INDEXABLE_LOW_WORD_COUNT,Low,CONTENT,https://lucaberton.com/blog/kcs_oraclecloud,Low word count: 3 words (min: 300),changed,"Add more substantive content to reach at least 300 words, or consider whether this page should be consolidated with another.",content
INDEXABILITY_NOINDEX_PAGE,Low,INDEXABILITY,https://lucaberton.com/blog/search?q=tutorial,"Page has meta robots noindex: ""noindex, follow""",unchanged,"If the page should be indexed, remove the noindex directive from the meta robots tag. If intentional, no action needed.",engineering
INDEXABILITY_NOINDEX_PAGE,Low,INDEXABILITY,https://lucaberton.com/blog/search,"Page has meta robots noindex: ""noindex, follow""",unchanged,"If the page should be indexed, remove the noindex directive from the meta robots tag. If intentional, no action needed.",engineering
CONTENT_NOT_INDEXABLE_TITLE_TOO_SHORT,Low,CONTENT,https://lucaberton.com/blog/kcs_rhel_repos,"Title too short (19 chars, min: 30)",changed,"Expand the title to at least 30 characters with descriptive, keyword-rich content.",content
INDEXABILITY_NOINDEX_PAGE,Low,INDEXABILITY,https://lucaberton.com/booklist,"Page has meta robots noindex: ""noindex, follow""",unchanged,"If the page should be indexed, remove the noindex directive from the meta robots tag. If intentional, no action needed.",engineering
INDEXABILITY_NOINDEX_PAGE,Low,INDEXABILITY,https://lucaberton.com/blog/search?q=Error+Fix,"Page has meta robots noindex: ""noindex, follow""",unchanged,"If the page should be indexed, remove the noindex directive from the meta robots tag. If intentional, no action needed.",engineering
CONTENT_NOT_INDEXABLE_META_DESCRIPTION_TOO_SHORT,Low,CONTENT,https://lucaberton.com/blog/kcs_rhel_repos,"Meta description too short (53 chars, min: 120)",changed,Expand the meta description to at least 120 characters.,content
INDEXABILITY_NOINDEX_PAGE,Low,INDEXABILITY,https://lucaberton.com/services/ai-integration-green-code,"Page has meta robots noindex: ""noindex, follow""",new,"If the page should be indexed, remove the noindex directive from the meta robots tag. If intentional, no action needed.",engineering
